city,city_ascii,region_id,lat,lng,population,density,id
Bagnell,Bagnell,MO,38.2294,-92.6053,74,56.7,1840009814
Nimmons,Nimmons,AR,36.3062,-90.0951,74,86.2,1840016089
Green Spring,Green Spring,WV,39.5242,-78.6301,74,12.5,1840025604
Thornburg,Thornburg,IA,41.4557,-92.3323,74,45.4,1840010258
Crozier,Crozier,AZ,35.4227,-113.6487,74,29.4,1840023176
Center Point,Center Point,AR,34.0318,-93.9511,74,22.7,1840040361
Flaming Gorge,Flaming Gorge,UT,40.8889,-109.4751,74,13.7,1840041657
New Weston,New Weston,OH,40.337,-84.6436,74,180.9,1840012252
Holloway,Holloway,MN,45.2441,-95.9112,74,25.1,1840006728
Colorado Acres,Colorado Acres,TX,27.6449,-99.2143,74,7.5,1840040694
Yale,Yale,KS,37.4901,-94.647,74,25.6,1840030318
Knierim,Knierim,IA,42.4563,-94.4559,74,22.1,1840008074
Villa Verde,Villa Verde,TX,26.1303,-97.9956,74,1213.9,1840037085
Wolf Lake,Wolf Lake,MN,46.8066,-95.3526,74,96.5,1840009968
Climax,Climax,KS,37.7191,-96.224,74,80.3,1840007535
Claire City,Claire City,SD,45.8566,-97.1035,74,95.1,1840000263
Waukena,Waukena,CA,36.1391,-119.511,74,93.9,1840024884
Greenville,Greenville,IA,43.017,-95.1461,74,34.2,1840007995
Bradley,Bradley,CA,35.8627,-120.8041,74,174.7,1840017681
Zurich,Zurich,MT,48.5861,-109.0302,74,46.8,1840078165
Humphreys,Humphreys,MO,40.1252,-93.3196,74,115.3,1840012240
Peach Orchard,Peach Orchard,AR,36.2812,-90.6608,74,36.7,1840014456
Masonville,Masonville,IA,42.4798,-91.5915,74,114.3,1840008052
Raub,Raub,IN,40.7294,-87.4897,74,56.2,1840055474
Goldville,Goldville,AL,33.0842,-85.7831,74,18.4,1840006026
Yarmouth,Yarmouth,IA,41.0245,-91.322,74,16.5,1840029684
Geneva,Geneva,PA,41.562,-80.2261,74,113.8,1840004807
Green Hill,Green Hill,IN,40.4135,-87.1122,74,74.9,1840054807
Fleming,Fleming,MO,39.1956,-94.0524,74,68,1840008486
Perryville,Perryville,AK,55.9315,-159.1559,74,1.9,1840023290
De Soto,De Soto,GA,31.9548,-84.0636,74,50.7,1840029398
Littlefield,Littlefield,AZ,36.8659,-113.936,74,10.8,1840023180
Ohlman,Ohlman,IL,39.3433,-89.2186,73,83.7,1840012642
Goodnews Bay,Goodnews Bay,AK,59.1271,-161.5753,73,14.7,1840023357
Blaine,Blaine,KY,38.0272,-82.8413,73,36.9,1840013211
Yarnell,Yarnell,PA,41.0003,-77.8142,73,64.1,1840101852
Beaver Bay,Beaver Bay,MN,47.2563,-91.3065,73,30.9,1840006602
Walters,Walters,MN,43.6049,-93.6743,73,65.4,1840010042
Literberry,Literberry,IL,39.8516,-90.1978,73,37.1,1840029782
Charles City,Charles City,VA,37.344,-77.0687,73,3.7,1840026851
King and Queen Court House,King and Queen Court House,VA,37.6683,-76.8781,73,28.3,1840026804
Loco,Loco,OK,34.3297,-97.6807,73,150.4,1840021888
Whipholt,Whipholt,MN,47.0436,-94.386,73,10.1,1840026098
Haswell,Haswell,CO,38.4525,-103.1649,73,28.9,1840021496
Balta,Balta,ND,48.1666,-100.0369,73,60.5,1840001880
Floral,Floral,AR,35.5889,-91.759,73,130.2,1840027732
Whitharral,Whitharral,TX,33.7391,-102.3278,73,30.2,1840036612
Oakwood,Oakwood,OK,35.9316,-98.7031,73,71.9,1840022695
Chalkhill,Chalkhill,PA,39.8461,-79.6142,73,32.5,1840026560
La Prairie,La Prairie,IL,40.1473,-91.0024,73,53.5,1840012362
Ihlen,Ihlen,MN,43.9122,-96.3709,73,61.2,1840006799
Escudilla Bonita,Escudilla Bonita,NM,34.1122,-109.0231,73,2.6,1840040018
Satartia,Satartia,MS,32.6719,-90.5445,73,76,1840018054
Akaska,Akaska,SD,45.331,-100.1208,73,30.3,1840002086
Sylvanite,Sylvanite,MT,48.7063,-115.8741,73,5.7,1840023748
Etta,Etta,OK,35.8329,-94.9035,73,17.5,1840151847
Watkins,Watkins,IA,41.8931,-91.985,73,78.3,1840026212
Buena Vista,Buena Vista,TX,26.2941,-98.6109,73,230.6,1840037129
Frankstown,Frankstown,PA,40.4444,-78.3558,73,71.2,1840153017
Caberfae,Caberfae,MI,44.2492,-85.7256,72,55.9,1840039574
Brentford,Brentford,SD,45.1591,-98.3223,72,54.9,1840002123
Corona,Corona,SD,45.3352,-96.7646,72,113,1840000264
Greenwater,Greenwater,WA,47.1465,-121.632,72,20.5,1840017343
Turtle River,Turtle River,MN,47.5882,-94.7581,72,29.9,1840009958
Tamassee,Tamassee,SC,34.8812,-83.0175,72,49.4,1840107730
Vanoss,Vanoss,OK,34.7578,-96.8712,72,15.9,1840034500
Northboro,Northboro,IA,40.6073,-95.2925,72,15.3,1840008299
Gardner,Gardner,ND,47.1445,-96.9686,72,74.6,1840000179
Hayward,Hayward,MO,36.3959,-89.6669,72,95.6,1840025773
Essex,Essex,MT,48.2823,-113.6095,72,45.4,1840032722
Buckhorn,Buckhorn,NM,33.0315,-108.6944,72,12.3,1840025066
Silver Star,Silver Star,MT,45.6875,-112.285,72,74.8,1840032761
Lost Springs,Lost Springs,KS,38.5665,-96.9658,72,32.5,1840009660
Menoken,Menoken,ND,46.8148,-100.5341,72,10.8,1840025257
Mabie,Mabie,CA,39.7771,-120.5447,72,7.6,1840025548
Green Valley,Green Valley,WI,44.7969,-88.2682,72,168.4,1840023920
Spring Hill,Spring Hill,IN,39.8346,-86.1926,72,600.7,1840030026
Umbarger,Umbarger,TX,34.9564,-102.1094,72,25.9,1840036600
Lawson,Lawson,AR,33.1999,-92.4878,72,9.4,1840001830
Vale Summit,Vale Summit,MD,39.6152,-78.9084,72,53.5,1840024437
Hartman,Hartman,CO,38.1212,-102.2217,72,73.4,1840021520
Sunol,Sunol,NE,41.1539,-102.763,72,19.8,1840024157
Fairview,Fairview,OH,40.0573,-81.235,72,71.2,1840012355
Joes,Joes,CO,39.6559,-102.6786,72,15.6,1840024319
Hoyt,Hoyt,OK,35.268,-95.3002,72,33,1840140999
Ono,Ono,CA,40.4801,-122.6257,72,11.6,1840027340
Grovespring,Grovespring,MO,37.3999,-92.606,72,37.8,1840032061
Stonyford,Stonyford,CA,39.3695,-122.5438,72,20.9,1840024472
Cornwall,Cornwall,CT,41.8443,-73.3327,72,41,1840153081
High Amana,High Amana,IA,41.8011,-91.9418,71,39.3,1840026249
Eldorado,Eldorado,MD,38.5841,-75.7893,71,53.8,1840006162
Folsom,Folsom,NM,36.8478,-103.9176,71,50.4,1840022633
Kincaid,Kincaid,KS,38.0812,-95.1554,71,47.9,1840008664
Lumber Bridge,Lumber Bridge,NC,34.8898,-79.0725,71,42.6,1840016534
Reubens,Reubens,ID,46.3229,-116.5429,71,66.7,1840019901
Bradley,Bradley,SD,45.0904,-97.642,71,38.6,1840002152
Redbird,Redbird,OK,35.8871,-95.5873,71,36,1840074909
Union Hill,Union Hill,IL,41.1086,-88.1463,71,53.3,1840011704
Leslie,Leslie,MO,38.418,-91.2309,71,170.9,1840012860
Opal,Opal,WY,41.768,-110.3242,71,85.2,1840022362
Salineño,Salineno,TX,26.5176,-99.112,71,268.8,1840019724
Youngsville,Youngsville,NM,36.1928,-106.566,71,32.1,1840024846
Putnam,Putnam,OK,35.8559,-98.9682,71,44.4,1840021689
Blairstown,Blairstown,MO,38.558,-93.9578,71,42.7,1840007493
Big Foot Prairie,Big Foot Prairie,WI,42.4956,-88.5983,71,21.5,1840145265
Mappsburg,Mappsburg,VA,37.576,-75.7593,71,16,1840024733
Clayton,Clayton,IA,42.9022,-91.1493,71,51.1,1840006890
Cushing,Cushing,NE,41.2949,-98.3693,71,34.8,1840011661
Elba,Elba,MN,44.0867,-92.0169,71,14,1840007919
Twilight,Twilight,WV,37.9252,-81.6176,71,32.4,1840038182
Encino,Encino,TX,26.9364,-98.1152,71,4.6,1840018302
Darfur,Darfur,MN,44.0535,-94.8378,71,138.9,1840006815
Aurora,Aurora,KS,39.452,-97.53,71,86.1,1840007326
Dunning,Dunning,NE,41.8272,-100.1048,71,113.1,1840011369
Bisbee,Bisbee,ND,48.6272,-99.3788,71,109.1,1840001860
Luke,Luke,MD,39.4766,-79.0593,71,38.2,1840005625
Sportsmans Park,Sportsmans Park,OR,45.2197,-121.3945,71,45.4,1840148747
Pondsville,Pondsville,MD,39.6234,-77.5916,71,156.1,1840024408
Watson,Watson,MO,40.4799,-95.6232,71,118.5,1840012136
El Dara,El Dara,IL,39.6227,-90.9917,71,33.6,1840012533
La Grange,La Grange,TN,35.0476,-89.2409,71,19.6,1840016406
Klukwan,Klukwan,AK,59.3987,-135.8886,71,17,1840023677
Monument,Monument,KS,39.1049,-101.0079,71,25.2,1840058244
Gibbs,Gibbs,MO,40.099,-92.4166,70,35.5,1840012304
Easton,Easton,WI,43.8383,-89.8049,70,27.8,1840123654
Pataha,Pataha,WA,46.4727,-117.5445,70,23.6,1840037699
Ozan,Ozan,AR,33.848,-93.7203,70,78.9,1840016763
Lowes,Lowes,KY,36.8828,-88.7706,70,45.1,1840026919
Volcano,Volcano,CA,38.4506,-120.6218,70,12.4,1840024640
Rodriguez Camp,Rodriguez Camp,CA,35.809,-119.1388,70,120.8,1840042291
Gulf Port,Gulf Port,IL,40.8087,-91.0845,70,11.2,1840029744
Everton,Everton,AR,36.1542,-92.9096,70,42.4,1840016082
Cusick,Cusick,WA,48.3333,-117.2944,70,59.3,1840021060
Dennis,Dennis,MS,34.559,-88.2303,70,18.2,1840032304
Gapland,Gapland,MD,39.4021,-77.6584,70,132.8,1840024400
Levasy,Levasy,MO,39.1363,-94.1307,70,43.6,1840008539
Sageville,Sageville,IA,42.5493,-90.7062,70,30,1840009098
Ward,Ward,CO,40.0722,-105.5139,70,55.5,1840022426
Speed,Speed,NC,35.9685,-77.4442,70,64.7,1840017753
Sumatra,Sumatra,FL,30.023,-84.9825,70,44.3,1840026013
Wann,Wann,NE,41.1394,-96.3632,70,17.9,1840024155
Jericho,Jericho,AR,35.2876,-90.2305,70,75.4,1840016382
